Date : 2023-11-06 17:05:15
Directory : c:\Users\carso\GitHub\Website\static
Total : 284 files,  58591 codes, 8843 comments, 12634 blanks, all 80068 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-addlink.d519b3bab011.svg                  | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-addlink.svg                               | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-alert.034cc7d8a67f.svg                    | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-alert.svg                                 | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-calendar.ac7aea671bea.svg                 | XML        |          9 |          0 |          1 |         10 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-calendar.svg                              | XML        |          9 |          0 |          1 |         10 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-changelink.18d2fd706348.svg               | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-changelink.svg                            | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-clock.e1d4dfac3f2b.svg                    | XML        |          9 |          0 |          1 |         10 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-clock.svg                                 | XML        |          9 |          0 |          1 |         10 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-deletelink.564ef9dc3854.svg               | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-deletelink.svg                            | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-no.439e821418cd.svg                       | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-no.svg                                    | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown-alt.81536e128bb6.svg              | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown-alt.svg                           | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown.a18cb4398978.svg                  | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-unknown.svg                               | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-viewlink.41eb31f7826e.svg                 | XML        |          3 |          0 |          1 |          4 |
| c:\Users\carso\GitHub\Website\static\admin\img\icon-viewlink.svg                              | XML        |          3 |          0 |          1 |          4 |
