"filename", "language", "Python", "CSS", "XML", "JavaScript", "HTML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\carso\GitHub\Website\RRRApp\migrations\0020_carshowlocation_date_carshowlocation_end_time_and_more.py", "Python", 22, 0, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\carso\GitHub\Website\RRRApp\migrations\0021_alter_carshowlocation_end_time_and_more.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\carso\GitHub\Website\RRRApp\migrations\0022_faqquestion_alter_carshowlocation_location.py", "Python", 20, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Users\carso\GitHub\Website\RRRApp\migrations\0023_merchitem_secondary_image_and_more.py", "Python", 37, 0, 0, 0, 0, 0, 0, 1, 6, 44
"c:\Users\carso\GitHub\Website\RRRApp\migrations\0024_alter_adminteammember_headshot_alter_car_image_and_more.py", "Python", 32, 0, 0, 0, 0, 0, 0, 1, 6, 39
"c:\Users\carso\GitHub\Website\RRRApp\migrations\0025_rename_carshowlocation_carshow.py", "Python", 11, 0, 0, 0, 0, 0, 0, 1, 6, 18
"c:\Users\carso\GitHub\Website\RRRApp\migrations\0026_carshow_email_preregister_payment_link_and_more.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\carso\GitHub\Website\RRRApp\migrations\0027_remove_carshow_email_subject.py", "Python", 11, 0, 0, 0, 0, 0, 0, 1, 6, 18
"c:\Users\carso\GitHub\Website\RRRApp\migrations\0028_alter_carshow_date_alter_carshow_end_time_and_more.py", "Python", 22, 0, 0, 0, 0, 0, 0, 1, 6, 29
"c:\Users\carso\GitHub\Website\RRRApp\migrations\0029_rename_location_carshow_location_html_and_more.py", "Python", 17, 0, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\carso\GitHub\Website\RRRApp\migrations\0030_remove_carshow_location_name.py", "Python", 11, 0, 0, 0, 0, 0, 0, 1, 6, 18
"c:\Users\carso\GitHub\Website\RRRApp\migrations\0031_carshow_location_name.py", "Python", 12, 0, 0, 0, 0, 0, 0, 1, 6, 19
"c:\Users\carso\GitHub\Website\RRRApp\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\carso\GitHub\Website\RRRApp\models.py", "Python", 55, 0, 0, 0, 0, 0, 0, 1, 14, 70
"c:\Users\carso\GitHub\Website\RRRApp\static\css\images.css", "CSS", 0, 22, 0, 0, 0, 0, 0, 2, 6, 30
"c:\Users\carso\GitHub\Website\RRRApp\static\css\smoke.css", "CSS", 0, 160, 0, 0, 0, 0, 0, 4, 25, 189
"c:\Users\carso\GitHub\Website\RRRApp\static\css\style.css", "CSS", 0, 1430, 0, 0, 0, 0, 0, 16, 260, 1706
"c:\Users\carso\GitHub\Website\RRRApp\static\icons\briefcase-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\carso\GitHub\Website\RRRApp\static\icons\cookies-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\carso\GitHub\Website\RRRApp\static\icons\facebook-round-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\carso\GitHub\Website\RRRApp\static\icons\globe-network-icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
