Date : 2023-11-06 17:06:25
Directory : c:\Users\carso\GitHub\Website\static
Total : 352 files,  54259 codes, 8665 comments, 11885 blanks, all 74809 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\carso\GitHub\Website\RRRApp\static\js\script.js                                                        | JavaScript |       -554 |        -70 |        -89 |       -713 |
| c:\Users\carso\GitHub\Website\RRRApp\templates\404.html                                                         | HTML       |        -60 |          0 |         -5 |        -65 |
| c:\Users\carso\GitHub\Website\RRRApp\templates\500.html                                                         | HTML       |        -14 |          0 |         -2 |        -16 |
| c:\Users\carso\GitHub\Website\RRRApp\templates\base.html                                                        | HTML       |        -82 |         -6 |        -10 |        -98 |
| c:\Users\carso\GitHub\Website\RRRApp\templates\cars.html                                                        | HTML       |        -86 |          0 |         -5 |        -91 |
| c:\Users\carso\GitHub\Website\RRRApp\templates\carshow.html                                                     | HTML       |       -104 |          0 |        -11 |       -115 |
| c:\Users\carso\GitHub\Website\RRRApp\templates\faq.html                                                         | HTML       |        -82 |          0 |         -2 |        -84 |
| c:\Users\carso\GitHub\Website\RRRApp\templates\index.html                                                       | HTML       |       -205 |         -2 |        -15 |       -222 |
| c:\Users\carso\GitHub\Website\RRRApp\templates\privacy.html                                                     | HTML       |        -63 |          0 |        -13 |        -76 |
| c:\Users\carso\GitHub\Website\RRRApp\templates\sponsor.html                                                     | HTML       |       -214 |          0 |         -2 |       -216 |
| c:\Users\carso\GitHub\Website\RRRApp\templates\team.html                                                        | HTML       |        -81 |          0 |         -2 |        -83 |
| c:\Users\carso\GitHub\Website\RRRApp\templates\terms.html                                                       | HTML       |        -46 |          0 |        -10 |        -56 |
| c:\Users\carso\GitHub\Website\RRRApp\tests.py                                                                   | Python     |       -114 |        -15 |        -37 |       -166 |
| c:\Users\carso\GitHub\Website\RRRApp\urls.py                                                                    | Python     |        -23 |         -4 |         -5 |        -32 |
| c:\Users\carso\GitHub\Website\RRRApp\views.py                                                                   | Python     |       -107 |        -16 |        -27 |       -150 |
| c:\Users\carso\GitHub\Website\static\admin\css\autocomplete.4a81fc4242d0.css                                    | CSS        |        227 |          0 |         49 |        276 |
| c:\Users\carso\GitHub\Website\static\admin\css\autocomplete.css                                                 | CSS        |        227 |          0 |         49 |        276 |
| c:\Users\carso\GitHub\Website\static\admin\css\base.64976e0f7339.css                                            | CSS        |        904 |         24 |        211 |      1,139 |
| c:\Users\carso\GitHub\Website\static\admin\css\base.css                                                         | CSS        |        904 |         24 |        211 |      1,139 |
| c:\Users\carso\GitHub\Website\static\admin\css\changelists.9237a1ac391b.css                                     | CSS        |        260 |          8 |         61 |        329 |
| c:\Users\carso\GitHub\Website\static\admin\css\changelists.css                                                  | CSS        |        260 |          8 |         61 |        329 |
| c:\Users\carso\GitHub\Website\static\admin\css\changelists.f4631a29abad.css                                     | CSS        |        260 |          8 |         61 |        329 |
| c:\Users\carso\GitHub\Website\static\admin\css\dark_mode.css                                                    | CSS        |        104 |          6 |         28 |        138 |
| c:\Users\carso\GitHub\Website\static\admin\css\dark_mode.ef27a31af300.css                                       | CSS        |        104 |          6 |         28 |        138 |
| c:\Users\carso\GitHub\Website\static\admin\css\dashboard.css                                                    | CSS        |         21 |          2 |          7 |         30 |
| c:\Users\carso\GitHub\Website\static\admin\css\dashboard.e90f2068217b.css                                       | CSS        |         21 |          2 |          7 |         30 |
| c:\Users\carso\GitHub\Website\static\admin\css\forms.334b7289c8eb.css                                           | CSS        |        415 |         11 |        105 |        531 |
| c:\Users\carso\GitHub\Website\static\admin\css\forms.3b181cba6653.css                                           | CSS        |        415 |         11 |        105 |        531 |
| c:\Users\carso\GitHub\Website\static\admin\css\forms.671bb36e43e3.css                                           | CSS        |        413 |         11 |        105 |        529 |
| c:\Users\carso\GitHub\Website\static\admin\css\forms.css                                                        | CSS        |        415 |         11 |        105 |        531 |
| c:\Users\carso\GitHub\Website\static\admin\css\login.586129c60a93.css                                           | CSS        |         49 |          1 |         12 |         62 |
| c:\Users\carso\GitHub\Website\static\admin\css\login.css                                                        | CSS        |         49 |          1 |         12 |         62 |
| c:\Users\carso\GitHub\Website\static\admin\css\nav_sidebar.269a1bd44627.css                                     | CSS        |        120 |          0 |         25 |        145 |
| c:\Users\carso\GitHub\Website\static\admin\css\nav_sidebar.css                                                  | CSS        |        120 |          0 |         25 |        145 |
| c:\Users\carso\GitHub\Website\static\admin\css\responsive.107cd2690311.css                                      | CSS        |        749 |         28 |        222 |        999 |
| c:\Users\carso\GitHub\Website\static\admin\css\responsive.css                                                   | CSS        |        749 |         28 |        222 |        999 |
| c:\Users\carso\GitHub\Website\static\admin\css\responsive_rtl.97b066429fd8.css                                  | CSS        |         64 |          2 |         16 |         82 |
| c:\Users\carso\GitHub\Website\static\admin\css\responsive_rtl.css                                               | CSS        |         64 |          2 |         16 |         82 |
| c:\Users\carso\GitHub\Website\static\admin\css\rtl.4685390ad96d.css                                             | CSS        |        219 |          8 |         62 |        289 |
| c:\Users\carso\GitHub\Website\static\admin\css\rtl.ac25b2aecb6e.css                                             | CSS        |        217 |          8 |         62 |        287 |
| c:\Users\carso\GitHub\Website\static\admin\css\rtl.css                                                          | CSS        |        219 |          8 |         62 |        289 |
| c:\Users\carso\GitHub\Website\static\admin\css\vendor\select2\LICENSE-SELECT2.f94142512c91.md                   | Markdown   |         17 |          0 |          5 |         22 |
| c:\Users\carso\GitHub\Website\static\admin\css\vendor\select2\LICENSE-SELECT2.md                                | Markdown   |         17 |          0 |          5 |         22 |
| c:\Users\carso\GitHub\Website\static\admin\css\vendor\select2\select2.a2194c262648.css                          | CSS        |        425 |          0 |         57 |        482 |
| c:\Users\carso\GitHub\Website\static\admin\css\vendor\select2\select2.css                                       | CSS        |        425 |          0 |         57 |        482 |
| c:\Users\carso\GitHub\Website\static\admin\css\vendor\select2\select2.min.9f54e6414f87.css                      | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\carso\GitHub\Website\static\admin\css\vendor\select2\select2.min.css                                   | CSS        |          1 |          0 |          1 |          2 |
| c:\Users\carso\GitHub\Website\static\admin\css\widgets.0a3765e806b3.css                                         | CSS        |        492 |          9 |        103 |        604 |
| c:\Users\carso\GitHub\Website\static\admin\css\widgets.css                                                      | CSS        |        492 |          9 |        103 |        604 |
| c:\Users\carso\GitHub\Website\static\admin\img\calendar-icons.39b290681a8b.svg                                  | XML        |         14 |          0 |          1 |         15 |
| c:\Users\carso\GitHub\Website\static\admin\img\calendar-icons.svg                                               | XML        |         14 |          0 |          1 |         15 |
